transaction_id,user_id,product_id,quantity,price,timestamp
1,103,208,9,386.72,2024-01-01 00:00:00
2,436,321,7,219.01,2024-01-01 01:00:00
3,861,140,4,463.39,2024-01-01 02:00:00
4,271,280,3,254.09,2024-01-01 03:00:00
5,107,34,6,177.13,2024-01-01 04:00:00
6,72,309,9,485.93,2024-01-01 05:00:00
7,701,392,9,215.76,2024-01-01 06:00:00
8,21,18,4,119.43,2024-01-01 07:00:00
9,615,57,5,92.96,2024-01-01 08:00:00
10,122,112,9,497.61,2024-01-01 09:00:00
11,467,5,2,377.73,2024-01-01 10:00:00
12,215,410,2,207.29,2024-01-01 11:00:00
13,331,414,5,414.05,2024-01-01 12:00:00
14,459,182,1,275.67,2024-01-01 13:00:00
15,88,13,8,162.11,2024-01-01 14:00:00
16,373,339,5,372.98,2024-01-01 15:00:00
17,100,285,2,374.22,2024-01-01 16:00:00
18,872,259,9,252.58,2024-01-01 17:00:00
19,664,90,2,27.35,2024-01-01 18:00:00
20,131,104,7,43.13,2024-01-01 19:00:00
21,662,379,8,395.43,2024-01-01 20:00:00
22,309,186,6,412.62,2024-01-01 21:00:00
23,770,250,7,340.75,2024-01-01 22:00:00
24,344,255,1,420.34,2024-01-01 23:00:00
25,492,76,4,361.15,2024-01-02 00:00:00
26,414,386,7,448.98,2024-01-02 01:00:00
27,806,459,1,79.45,2024-01-02 02:00:00
28,386,108,1,196.93,2024-01-02 03:00:00
29,192,156,6,234.73,2024-01-02 04:00:00
30,956,82,4,152.34,2024-01-02 05:00:00
31,277,77,3,364.06,2024-01-02 06:00:00
32,161,485,5,456.66,2024-01-02 07:00:00
33,460,470,9,209.18,2024-01-02 08:00:00
34,314,460,3,471.06,2024-01-02 09:00:00
35,22,258,5,260.8,2024-01-02 10:00:00
36,253,127,5,263.65,2024-01-02 11:00:00
37,748,485,9,302.11,2024-01-02 12:00:00
38,857,391,4,137.82,2024-01-02 13:00:00
39,561,282,1,194.76,2024-01-02 14:00:00
40,475,474,5,278.85,2024-01-02 15:00:00
41,59,88,1,471.28,2024-01-02 16:00:00
42,511,204,6,323.13,2024-01-02 17:00:00
43,682,16,7,169.89,2024-01-02 18:00:00
44,476,151,1,10.18,2024-01-02 19:00:00
45,700,424,4,490.92,2024-01-02 20:00:00
46,976,254,9,249.03,2024-01-02 21:00:00
47,783,188,1,469.56,2024-01-02 22:00:00
48,190,329,9,276.93,2024-01-02 23:00:00
49,958,32,8,304.71,2024-01-03 00:00:00
50,687,271,5,357.4,2024-01-03 01:00:00
51,958,485,6,163.88,2024-01-03 02:00:00
52,563,397,7,351.0,2024-01-03 03:00:00
53,876,5,4,265.76,2024-01-03 04:00:00
54,567,459,6,337.88,2024-01-03 05:00:00
55,244,330,7,418.74,2024-01-03 06:00:00
56,832,308,6,96.19,2024-01-03 07:00:00
57,505,333,6,308.71,2024-01-03 08:00:00
58,131,169,2,30.8,2024-01-03 09:00:00
59,485,181,5,55.55,2024-01-03 10:00:00
60,819,366,3,338.92,2024-01-03 11:00:00
61,647,178,7,40.11,2024-01-03 12:00:00
62,21,143,4,299.7,2024-01-03 13:00:00
63,841,362,1,113.91,2024-01-03 14:00:00
64,167,248,6,155.52,2024-01-03 15:00:00
65,274,127,6,69.17,2024-01-03 16:00:00
66,388,263,7,128.09,2024-01-03 17:00:00
67,601,40,8,411.54,2024-01-03 18:00:00
68,316,412,3,321.24,2024-01-03 19:00:00
69,14,416,6,475.13,2024-01-03 20:00:00
70,242,355,2,29.13,2024-01-03 21:00:00
71,777,255,9,397.24,2024-01-03 22:00:00
72,346,143,2,351.04,2024-01-03 23:00:00
73,565,240,3,134.14,2024-01-04 00:00:00
74,898,228,2,365.94,2024-01-04 01:00:00
75,340,341,9,359.69,2024-01-04 02:00:00
76,92,198,1,232.38,2024-01-04 03:00:00
77,367,65,5,345.88,2024-01-04 04:00:00
78,956,388,1,225.07,2024-01-04 05:00:00
79,455,11,5,171.1,2024-01-04 06:00:00
80,428,108,8,235.91,2024-01-04 07:00:00
81,509,26,8,448.09,2024-01-04 08:00:00
82,776,445,8,195.37,2024-01-04 09:00:00
83,943,421,2,204.83,2024-01-04 10:00:00
84,35,151,8,306.16,2024-01-04 11:00:00
85,206,221,5,377.73,2024-01-04 12:00:00
86,81,341,1,368.64,2024-01-04 13:00:00
87,932,496,7,14.8,2024-01-04 14:00:00
88,562,237,6,345.27,2024-01-04 15:00:00
89,872,237,5,228.02,2024-01-04 16:00:00
90,388,497,1,264.42,2024-01-04 17:00:00
91,2,219,1,283.02,2024-01-04 18:00:00
92,390,487,6,367.2,2024-01-04 19:00:00
93,566,424,7,416.51,2024-01-04 20:00:00
94,106,461,1,324.9,2024-01-04 21:00:00
95,772,151,9,284.13,2024-01-04 22:00:00
96,822,123,4,190.02,2024-01-04 23:00:00
97,477,144,5,73.25,2024-01-05 00:00:00
98,703,478,2,479.5,2024-01-05 01:00:00
99,402,189,8,233.61,2024-01-05 02:00:00
100,730,255,2,285.28,2024-01-05 03:00:00
101,556,68,3,376.78,2024-01-05 04:00:00
102,162,104,9,38.86,2024-01-05 05:00:00
103,202,336,2,428.23,2024-01-05 06:00:00
104,958,159,6,399.53,2024-01-05 07:00:00
105,996,309,4,388.34,2024-01-05 08:00:00
106,270,362,7,15.88,2024-01-05 09:00:00
107,863,409,6,265.63,2024-01-05 10:00:00
108,816,300,9,31.86,2024-01-05 11:00:00
109,271,396,9,277.68,2024-01-05 12:00:00
110,456,90,4,360.63,2024-01-05 13:00:00
111,462,357,1,65.32,2024-01-05 14:00:00
112,727,256,2,348.97,2024-01-05 15:00:00
113,252,496,8,227.52,2024-01-05 16:00:00
114,702,353,8,406.72,2024-01-05 17:00:00
115,296,220,2,269.13,2024-01-05 18:00:00
116,725,9,4,171.38,2024-01-05 19:00:00
117,720,12,1,169.34,2024-01-05 20:00:00
118,749,325,7,449.26,2024-01-05 21:00:00
119,338,438,4,229.17,2024-01-05 22:00:00
120,879,244,8,205.85,2024-01-05 23:00:00
121,53,182,9,24.74,2024-01-06 00:00:00
122,792,284,9,185.34,2024-01-06 01:00:00
123,922,312,3,425.57,2024-01-06 02:00:00
124,217,99,5,381.69,2024-01-06 03:00:00
125,764,197,6,114.35,2024-01-06 04:00:00
126,188,482,6,209.46,2024-01-06 05:00:00
127,380,366,8,102.31,2024-01-06 06:00:00
128,493,226,6,477.34,2024-01-06 07:00:00
129,41,333,6,301.07,2024-01-06 08:00:00
130,157,103,4,378.41,2024-01-06 09:00:00
131,15,106,7,358.34,2024-01-06 10:00:00
132,813,365,8,437.48,2024-01-06 11:00:00
133,65,368,3,474.92,2024-01-06 12:00:00
134,857,58,7,21.06,2024-01-06 13:00:00
135,839,78,3,487.77,2024-01-06 14:00:00
136,521,75,8,435.92,2024-01-06 15:00:00
137,344,42,1,194.56,2024-01-06 16:00:00
138,129,422,1,419.35,2024-01-06 17:00:00
139,648,324,6,369.6,2024-01-06 18:00:00
140,472,181,9,397.59,2024-01-06 19:00:00
141,63,33,4,114.24,2024-01-06 20:00:00
142,139,71,6,326.04,2024-01-06 21:00:00
143,499,56,5,17.83,2024-01-06 22:00:00
144,593,105,1,424.87,2024-01-06 23:00:00
145,392,200,6,475.77,2024-01-07 00:00:00
146,675,101,9,332.75,2024-01-07 01:00:00
147,419,256,3,258.77,2024-01-07 02:00:00
148,289,307,3,364.24,2024-01-07 03:00:00
149,379,74,2,166.55,2024-01-07 04:00:00
150,773,171,4,315.06,2024-01-07 05:00:00
151,490,377,3,360.89,2024-01-07 06:00:00
152,231,143,2,75.63,2024-01-07 07:00:00
153,41,166,1,74.33,2024-01-07 08:00:00
154,28,399,3,359.49,2024-01-07 09:00:00
155,135,261,6,218.73,2024-01-07 10:00:00
156,201,221,9,445.15,2024-01-07 11:00:00
157,840,83,5,159.41,2024-01-07 12:00:00
158,780,182,3,26.0,2024-01-07 13:00:00
159,930,307,5,326.69,2024-01-07 14:00:00
160,33,10,5,343.7,2024-01-07 15:00:00
161,48,396,5,279.03,2024-01-07 16:00:00
162,503,4,7,343.25,2024-01-07 17:00:00
163,407,351,5,264.26,2024-01-07 18:00:00
164,574,402,7,347.85,2024-01-07 19:00:00
165,728,336,9,26.75,2024-01-07 20:00:00
166,805,488,5,187.36,2024-01-07 21:00:00
167,99,292,2,109.35,2024-01-07 22:00:00
168,684,281,5,54.17,2024-01-07 23:00:00
169,872,215,8,120.88,2024-01-08 00:00:00
170,726,460,4,99.7,2024-01-08 01:00:00
171,987,98,2,486.7,2024-01-08 02:00:00
172,547,420,3,146.84,2024-01-08 03:00:00
173,961,101,9,119.32,2024-01-08 04:00:00
174,739,451,9,418.26,2024-01-08 05:00:00
